sorted_sim_list,cdf_vlpn,null_cdf_vlpn
0.261655225769933,0.013986013986014,0.0222222222222222
0.34768735467319,0.013986013986014,0.0444444444444444
0.36530668086796,0.020979020979021,0.0666666666666667
0.379069396013121,0.034965034965035,0.0888888888888889
0.39972048111298,0.034965034965035,0.111111111111111
0.434470635122278,0.034965034965035,0.133333333333333
0.451602443492307,0.034965034965035,0.155555555555556
0.470400174069699,0.0979020979020979,0.177777777777778
0.470643229857642,0.0979020979020979,0.2
0.507533569952113,0.0979020979020979,0.222222222222222
0.527802686755659,0.118881118881119,0.244444444444444
0.530651071304106,0.118881118881119,0.266666666666667
0.545893758142944,0.125874125874126,0.288888888888889
0.551166279069526,0.125874125874126,0.311111111111111
0.556057941551531,0.125874125874126,0.333333333333333
0.558136890629519,0.125874125874126,0.355555555555556
0.566428997233578,0.13986013986014,0.377777777777778
0.578757354102726,0.13986013986014,0.4
0.580063170292375,0.174825174825175,0.422222222222222
0.599155581805457,0.174825174825175,0.444444444444444
0.625082977772099,0.195804195804196,0.466666666666667
0.670778281781305,0.195804195804196,0.488888888888889
0.673473772552635,0.27972027972028,0.511111111111111
0.68525572434799,0.27972027972028,0.533333333333333
0.700914457564983,0.27972027972028,0.555555555555556
0.715785651018217,0.34965034965035,0.577777777777778
0.73219971694111,0.34965034965035,0.6
0.742065883847304,0.34965034965035,0.622222222222222
0.745849037657244,0.454545454545455,0.644444444444444
0.752290652405498,0.454545454545455,0.666666666666667
0.758233570920421,0.510489510489511,0.688888888888889
0.758586695147628,0.510489510489511,0.711111111111111
0.779900690306469,0.587412587412587,0.733333333333333
0.795484920651414,0.713286713286713,0.755555555555556
0.821470227993432,0.713286713286713,0.777777777777778
0.82866745775673,0.783216783216783,0.8
0.831513972928658,0.811188811188811,0.822222222222222
0.841382145015566,0.825174825174825,0.844444444444444
0.869249287789299,0.839160839160839,0.866666666666667
0.871305847518841,0.923076923076923,0.888888888888889
0.8789085418372,0.923076923076923,0.911111111111111
0.893168834413034,0.951048951048951,0.933333333333333
0.893338721950698,0.965034965034965,0.955555555555556
0.909624100526555,1,0.977777777777778
0.939561753765178,1,1
