bodyId_pre,All,LC4,LC18,LC11,LPLC1,LC12,LC21,LC17,LPLC2,LPLC4
1840282178,111.0,14.0,4.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0
1901682750,110.0,12.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0
1963079392,219.0,15.0,16.0,26.0,15.0,2.0,4.0,3.0,0.0,0.0
1994791924,154.0,14.0,8.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0
1994792005,182.0,19.0,15.0,10.0,13.0,3.0,0.0,1.0,0.0,2.0
1995123997,125.0,9.0,10.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0
1995802079,108.0,15.0,5.0,4.0,10.0,3.0,1.0,0.0,0.0,0.0
2025153433,163.0,14.0,17.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0
2026163864,117.0,17.0,5.0,10.0,6.0,3.0,2.0,0.0,0.0,0.0
2088574169,111.0,12.0,6.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0
2118935033,141.0,12.0,9.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0
2118940139,166.0,11.0,7.0,9.0,14.0,0.0,0.0,2.0,0.0,0.0
2149296373,139.0,14.0,4.0,6.0,8.0,2.0,0.0,2.0,0.0,0.0
2150648466,93.0,8.0,7.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0
2181009844,149.0,20.0,9.0,4.0,10.0,3.0,2.0,0.0,0.0,0.0
2182019184,98.0,8.0,8.0,4.0,4.0,0.0,3.0,0.0,0.0,1.0
2213059115,113.0,16.0,6.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0
5812993999,127.0,12.0,4.0,11.0,8.0,1.0,1.0,0.0,2.0,0.0
Total,2426.0,242.0,145.0,143.0,143.0,30.0,19.0,10.0,4.0,3.0
